Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",0402,2,100n,C1525
C10,0402,1,0.1u,C1525
"C2, C7, C8, C9",0805,4,10u,C15850
C3,0402,1,1u,C52923
"C4, C5",0402,2,18p,C1549
C6,0603,1,1u,C15849
D1,D_SOD-323,1,BAT60JFILM,C133103
D3,D_SMA,1,SS14,C2480
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,L_Sunlord_SWPA5040S,1,4.7u,C48496
"Q1, Q3",SOT-23,2,AO3401A,C15127
Q2,SOT-23,1,2N7002,C8545
"R1, R2, R6",0402,3,10K,C25744
"R10, R11",0603,2,2M,C22976
"R12, R13, R9",0402,3,100k,C25741
"R3, R4",0402,2,5.1K,C25905
R5,1206,1,0.1,C25334
R7,0402,1,15K,C25756
R8,0402,1,1M,C26083
SW1,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,1,SW_Push,C2804591
"TP10, TP11, TP12, TP13, TP14, TP15, TP17, TP18, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,13,TestPoint,
U1,C2838502_WIFIM-SMD_ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U2,SOT-23,1,MCP1700x-330xxTT,C39051
U3,QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm,1,TP5000,C51699
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,C32346
