Designator,Mid X,Mid Y,Rotation,Layer
C1,132.03,-100.0,180.0,top
C10,173.53,-101.0,0.0,top
C11,133.53,-80.5,180.0,top
C2,132.01,-104.05,270.0,top
C3,134.53,-100.0,180.0,top
C4,145.53,-93.5,0.0,top
C5,145.53,-96.0,0.0,top
C6,206.01,-90.0,270.0,top
C7,206.01,-93.95,270.0,top
C8,161.51,-103.05,270.0,top
C9,174.06,-103.95,0.0,top
D1,196.51,-102.5,180.0,top
D3,155.51,-109.0,180.0,top
J2,176.905,-114.8,0.0,top
JP1,193.51,-97.0,0.0,top
JP2,202.01,-97.0,0.0,top
JP3,168.86,-96.5,180.0,top
JP4,187.36,-105.0,0.0,top
JP5,164.66,-115.0,0.0,top
L1,164.01,-109.0,0.0,top
Q1,183.51,-101.0,270.0,top
Q2,178.51,-101.0,270.0,top
Q3,193.51,-90.5,270.0,top
R1,202.51,-115.5,0.0,top
R10,133.52,-79.0,180.0,top
R11,134.185,-82.0,180.0,top
R12,218.51,-76.01,90.0,top
R13,193.5,-93.5,180.0,top
R2,134.52,-98.5,0.0,top
R3,174.51,-107.5,90.0,top
R4,178.51,-107.5,270.0,top
R5,169.01,-108.5,270.0,top
R6,137.5,-111.0,180.0,top
R7,134.5,-111.0,180.0,top
R8,144.02,-86.0,0.0,top
R9,183.51,-105.0,0.0,top
SW1,194.65,-114.305,180.0,top
TP10,150.51,-85.5,0.0,top
TP11,221.01,-68.0,0.0,top
TP12,223.01,-96.0,0.0,top
TP13,153.51,-71.5,0.0,top
TP14,208.51,-72.0,0.0,top
TP15,142.51,-102.0,0.0,top
TP17,150.51,-88.0,0.0,top
TP18,136.01,-114.0,0.0,top
TP5,133.51,-76.5,0.0,top
TP6,168.51,-115.0,0.0,top
TP7,180.01,-96.5,0.0,top
TP8,177.01,-96.5,0.0,top
TP9,174.01,-96.5,0.0,top
U1,135.41,-90.0,90.0,top
U2,202.56,-90.0625,270.0,top
U3,168.885,-102.625,90.0,top
Y1,143.01,-94.75,90.0,top
